model_key,prediction_window,feature_group,target_cutoff,model,settings,threshold,accuracy,balanced_accuracy,f1_up,train_rows,test_rows,split_date
"focused|7d|Decision Tree|max_depth=3, min_samples_leaf=10",7,price_volume_only,0.005,Decision Tree,"max_depth=3, min_samples_leaf=10",0.4,0.6076555023923444,0.5124273255813954,0.7429467084639498,6698,1672,2025-03-03
"focused|7d|Decision Tree|max_depth=3, min_samples_leaf=20",7,price_volume_only,0.005,Decision Tree,"max_depth=3, min_samples_leaf=20",0.43,0.6076555023923444,0.5124273255813954,0.7429467084639498,6698,1672,2025-03-03
"focused|7d|Decision Tree|max_depth=3, min_samples_leaf=5",7,price_volume_only,0.005,Decision Tree,"max_depth=3, min_samples_leaf=5",0.43,0.6076555023923444,0.5124273255813954,0.7429467084639498,6698,1672,2025-03-03
"focused|7d|Decision Tree|max_depth=3, min_samples_leaf=5",7,price_volume_only,0.005,Decision Tree,"max_depth=3, min_samples_leaf=5",0.4,0.6076555023923444,0.5124273255813954,0.7429467084639498,6698,1672,2025-03-03
"focused|7d|Decision Tree|max_depth=3, min_samples_leaf=20",7,price_volume_only,0.005,Decision Tree,"max_depth=3, min_samples_leaf=20",0.4,0.6076555023923444,0.5124273255813954,0.7429467084639498,6698,1672,2025-03-03
"focused|7d|Decision Tree|max_depth=3, min_samples_leaf=10",7,price_volume_only,0.005,Decision Tree,"max_depth=3, min_samples_leaf=10",0.43,0.6076555023923444,0.5124273255813954,0.7429467084639498,6698,1672,2025-03-03
focused|7d|Logistic Regression|C=0.05,7,price_volume_only,0.005,Logistic Regression,C=0.05,0.4,0.4958133971291866,0.5117429748062016,0.5207504263786242,6698,1672,2025-03-03
"focused|7d|Decision Tree|max_depth=5, min_samples_leaf=20",7,price_volume_only,0.005,Decision Tree,"max_depth=5, min_samples_leaf=20",0.47,0.4569377990430622,0.5117066375968993,0.3873144399460189,6698,1672,2025-03-03
"focused|7d|Decision Tree|max_depth=5, min_samples_leaf=20",7,price_volume_only,0.005,Decision Tree,"max_depth=5, min_samples_leaf=20",0.45,0.4569377990430622,0.5117066375968993,0.3873144399460189,6698,1672,2025-03-03
"focused|7d|Decision Tree|max_depth=5, min_samples_leaf=20",7,price_volume_only,0.005,Decision Tree,"max_depth=5, min_samples_leaf=20",0.43,0.4569377990430622,0.5117066375968993,0.3873144399460189,6698,1672,2025-03-03
"focused|7d|Decision Tree|max_depth=5, min_samples_leaf=10",7,price_volume_only,0.005,Decision Tree,"max_depth=5, min_samples_leaf=10",0.43,0.4569377990430622,0.5117066375968993,0.3873144399460189,6698,1672,2025-03-03
"focused|7d|Decision Tree|max_depth=5, min_samples_leaf=10",7,price_volume_only,0.005,Decision Tree,"max_depth=5, min_samples_leaf=10",0.47,0.4557416267942584,0.5116279069767442,0.38263229308005425,6698,1672,2025-03-03
"focused|7d|Decision Tree|max_depth=5, min_samples_leaf=10",7,price_volume_only,0.005,Decision Tree,"max_depth=5, min_samples_leaf=10",0.45,0.4557416267942584,0.5116279069767442,0.38263229308005425,6698,1672,2025-03-03
"focused|7d|Random Forest|n_estimators=200, max_depth=5, min_samples_leaf=5",7,price_volume_only,0.005,Random Forest,"n_estimators=200, max_depth=5, min_samples_leaf=5",0.5,0.444377990430622,0.5107315891472868,0.3359542530378842,6698,1672,2025-03-03
focused|7d|Logistic Regression|C=10,7,price_volume_only,0.005,Logistic Regression,C=10,0.47,0.4216507177033493,0.510719476744186,0.21827000808407437,6698,1672,2025-03-03
focused|7d|Logistic Regression|C=0.5,7,price_volume_only,0.005,Logistic Regression,C=0.5,0.4,0.4820574162679426,0.5103924418604651,0.481437125748503,6698,1672,2025-03-03
focused|7d|Logistic Regression|C=0.25,7,price_volume_only,0.005,Logistic Regression,C=0.25,0.4,0.48444976076555024,0.5102531492248062,0.48933649289099523,6698,1672,2025-03-03
focused|7d|Logistic Regression|C=0.75,7,price_volume_only,0.005,Logistic Regression,C=0.75,0.4,0.48086124401913877,0.5097202034883721,0.4789915966386555,6698,1672,2025-03-03
"focused|7d|Random Forest|n_estimators=300, max_depth=None, min_samples_leaf=10",7,price_volume_only,0.005,Random Forest,"n_estimators=300, max_depth=None, min_samples_leaf=10",0.4,0.5299043062200957,0.5096838662790697,0.6101190476190477,6698,1672,2025-03-03
focused|7d|Logistic Regression|C=0.05,7,price_volume_only,0.005,Logistic Regression,C=0.05,0.5,0.4084928229665072,0.5095566860465116,0.14074717636837533,6698,1672,2025-03-03
"focused|7d|Random Forest|n_estimators=200, max_depth=None, min_samples_leaf=8",7,price_volume_only,0.005,Random Forest,"n_estimators=200, max_depth=None, min_samples_leaf=8",0.45,0.5029904306220095,0.5095445736434109,0.5446575342465754,6698,1672,2025-03-03
focused|7d|Logistic Regression|C=5,7,price_volume_only,0.005,Logistic Regression,C=5,0.47,0.42045454545454547,0.509453730620155,0.21665319320937754,6698,1672,2025-03-03
"focused|7d|Random Forest|n_estimators=200, max_depth=None, min_samples_leaf=3",7,price_volume_only,0.005,Random Forest,"n_estimators=200, max_depth=None, min_samples_leaf=3",0.4,0.5430622009569378,0.5087693798449613,0.6389413988657845,6698,1672,2025-03-03
focused|7d|Logistic Regression|C=1.5,7,price_volume_only,0.005,Logistic Regression,C=1.5,0.4,0.4784688995215311,0.508672480620155,0.47342995169082125,6698,1672,2025-03-03
focused|7d|Logistic Regression|C=1,7,price_volume_only,0.005,Logistic Regression,C=1,0.4,0.47906698564593303,0.5082667151162791,0.476247745039086,6698,1672,2025-03-03
focused|7d|Logistic Regression|C=5,7,price_volume_only,0.005,Logistic Regression,C=5,0.4,0.4784688995215311,0.5077822189922481,0.4753309265944645,6698,1672,2025-03-03
focused|7d|Logistic Regression|C=2,7,price_volume_only,0.005,Logistic Regression,C=2,0.4,0.4772727272727273,0.507703488372093,0.47158403869407495,6698,1672,2025-03-03
focused|7d|Logistic Regression|C=0.1,7,price_volume_only,0.005,Logistic Regression,C=0.1,0.5,0.40311004784689,0.5075702519379846,0.11367673179396093,6698,1672,2025-03-03
"focused|7d|Random Forest|n_estimators=200, max_depth=None, min_samples_leaf=8",7,price_volume_only,0.005,Random Forest,"n_estimators=200, max_depth=None, min_samples_leaf=8",0.4,0.5340909090909091,0.507437015503876,0.6220281416787967,6698,1672,2025-03-03
"focused|7d|Random Forest|n_estimators=200, max_depth=None, min_samples_leaf=10",7,price_volume_only,0.005,Random Forest,"n_estimators=200, max_depth=None, min_samples_leaf=10",0.4,0.5293062200956937,0.5071220930232558,0.6121241991128635,6698,1672,2025-03-03
focused|7d|Logistic Regression|C=0.25,7,price_volume_only,0.005,Logistic Regression,C=0.25,0.5,0.40131578947368424,0.5067102713178295,0.10545129579982127,6698,1672,2025-03-03
focused|7d|Logistic Regression|C=0.5,7,price_volume_only,0.005,Logistic Regression,C=0.5,0.5,0.4007177033492823,0.5062257751937985,0.1037567084078712,6698,1672,2025-03-03
